,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6129377171879177,0.17377567140600317,0.6618531889290012,0.2752752752752753,0.6702283760338601
Decision Tree,0.6678695535952954,0.2005792903692976,0.6666666666666666,0.3083774005009741,0.7272443129440829
Random Forest,0.6901897888265169,0.21436803688052247,0.6714801444043321,0.32498543972044264,0.7701439538149306
